                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4933,                 5.2404,                 1.5676,                0.00015,                0.01667,                  0.001,                0.00042,                  1.664,                 4.7307,                 1.2943,                      0,                      0,                      0
                      1,                 1.4933,                 5.2404,                 1.5676,                0.00015,                0.01667,                  0.001,                0.00042,                  1.664,                 4.7307,                 1.2943,                      0,                      0,                      0
                      1,                 1.1334,                 5.4772,                 1.5441,                0.00042,                   0.05,                0.00202,                0.00131,                 1.2772,                 4.8505,                 1.1966,                      0,                      0,                      0
                      2,                0.99707,                 5.4618,                 1.3639,                0.00042,                   0.05,                0.00224,                0.00146,                 1.2806,                 4.8359,                 1.2047,             6.0095e-07,             6.0095e-07,             6.0095e-07
                      1,                0.72426,                 5.7615,                 1.2529,                0.00042,                   0.05,                0.00202,                0.00149,                 1.2781,                 4.8557,                 1.1914,                      0,                      0,                      0
                      2,                0.90105,                 5.8003,                 1.3015,                0.00056,                0.06667,                0.00239,                0.00169,                 1.2927,                 4.8396,                 1.2051,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                0.79419,                 5.7541,                 1.1919,                0.00056,                0.06667,                0.00239,                 0.0017,                  1.306,                 4.8218,                 1.2139,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.95814,                 5.7384,                 1.3249,                0.00056,                0.06667,                 0.0024,                0.00171,                 1.3274,                 4.8054,                  1.224,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                0.80532,                 5.7416,                   1.29,                0.00056,                0.06667,                 0.0024,                0.00171,                 1.3457,                  4.787,                 1.2246,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.91682,                 5.8764,                 1.2405,                0.00056,                0.06667,                 0.0024,                0.00173,                 1.3586,                  4.767,                 1.2235,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                0.83029,                 5.7618,                 1.2754,                0.00056,                0.06667,                0.00268,                 0.0022,                 1.3559,                 4.7643,                 1.2283,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                0.90061,                 5.8612,                 1.2635,                0.00056,                0.06667,                0.00305,                0.00255,                   1.35,                 4.7567,                  1.228,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                0.78759,                 5.7604,                 1.2028,                0.00056,                0.06667,                0.00305,                0.00256,                 1.3334,                  4.799,                 1.2221,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.81525,                  5.773,                 1.2106,                0.00056,                0.06667,                0.00305,                0.00229,                 1.3257,                 4.8127,                 1.2185,             1.1674e-06,             1.1674e-06,             1.1674e-06
                      1,                 1.1334,                 5.4772,                 1.5441,                0.00042,                   0.05,                0.00202,                0.00131,                 1.2772,                 4.8505,                 1.1966,                      0,                      0,                      0
                      2,                0.99707,                 5.4618,                 1.3639,                0.00042,                   0.05,                0.00224,                0.00146,                 1.2805,                  4.836,                 1.2047,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.0097,                 5.6291,                 1.4501,                0.00042,                   0.05,                0.00203,                0.00131,                 1.2681,                 4.8457,                 1.2067,              8.092e-07,              8.092e-07,              8.092e-07
